airport,score
DEN,0.21836506159014557
ORD,0.21500559910414335
DFW,0.21500559910414335
ATL,0.2026875699888018
MEM,0.1881298992161254
MSP,0.1769316909294513
LAS,0.17245240761478164
CLT,0.1713325867861142
LAX,0.16685330347144456
DTW,0.1612541993281075
