airport,betweenness
ANC,0.27297641481037377
DEN,0.06981538177020155
SEA,0.06884259254982286
FAI,0.056894352675190954
ORD,0.05609883604376883
DFW,0.05436355798997621
OAK,0.050905974034943895
ADQ,0.039368375846072716
MSP,0.03776260685232074
ATL,0.03660492077832793
