Model,Train Acc,Train Macro-F1,Train ROC-AUC,Test Acc,Test Macro-F1,Test ROC-AUC
LogReg,0.813007286777481,0.8103286120885045,0.9199409681457714,0.7995021263354424,0.797528738375468,0.9158278767206665
RF-C,0.9995072997432772,0.99950615031922,0.9999959292598476,0.8695156104138575,0.8697834419051453,0.9602528482275651
XGB-C,0.9270025672276534,0.9268833258409211,0.9892809835446402,0.8886007675552329,0.8884852349059038,0.971638024785174
