Model,Train RMSE,Train MAE,Train R2,Test RMSE,Test MAE,Test R2
OLS,1087.0166228643322,843.251707375462,0.7021023736993437,1078.1281297411567,845.2996919553451,0.6997820777001225
"RF {'rf__max_depth': 10, 'rf__min_samples_leaf': 10, 'rf__n_estimators': 300}",459.8683002612296,263.0111364831781,0.9466835015782061,523.6908895895361,291.69744605537414,0.9291653263185968
"XGB {'xgb__colsample_bytree': 0.8, 'xgb__learning_rate': 0.05, 'xgb__max_depth': 4, 'xgb__n_estimators': 400, 'xgb__subsample': 0.8}",460.35348171269436,273.4634704589844,0.9465709328651428,507.08155470791877,287.692626953125,0.9335872530937195
